collisions,comparisons,delete_s,height,insert_s,mem_peak_bytes,n,rotations,search_s,structure,traverse_s
0,65638,0.0020440999942366034,15,0.12021019999519922,703454,5000,3340,0.001809899986255914,AVL,0.0007585999846924096
0,65699,0.0026329999964218587,,0.0845264999952633,312528,5000,972,0.0025233000051230192,BTree,0.0004048999981023371
0,65898,5.43000060133636e-05,15,0.06995309999911115,604680,5000,4449,0.0013734000094700605,RedBlackTree,0.0008966999885160476
0,71226,0.001566199993249029,14,0.1277630999975372,656718,5000,5786,0.001789500005543232,AVL,0.001119799999287352
0,47596,0.00279279999085702,,0.08278670001891442,440504,5000,1610,0.0019315999816171825,BTree,0.0004188999882899225
0,103976,5.329999839887023e-05,22,0.11582760000601411,602160,5000,9443,0.0013993000029586256,RedBlackTree,0.0009151000122074038
0,131084,0.0014870999730192125,40,0.2977719999908004,657382,5000,8159,0.0011260999890509993,AVL,0.0011108999897260219
0,51008,0.001480000006267801,,0.08459149999544024,330136,5000,1116,0.0018130000098608434,BTree,0.0002534999803174287
0,70926,9.730001329444349e-05,17,0.11733180002192967,602160,5000,8514,0.001166999980341643,RedBlackTree,0.00443879998056218
0,67815,0.0006557999877259135,12,0.20168709999416023,657542,5000,4987,0.0014939999964553863,AVL,0.0007052000146359205
0,13935,0.004680099984398112,,0.02745429999777116,450632,5000,1658,0.0017208000062964857,BTree,0.0005328000115696341
0,105721,5.9999991208314896e-05,22,0.12074119999306276,602160,5000,9951,0.0023234999971464276,RedBlackTree,0.00099120000959374
0,185089,0.0010247999744024128,51,0.4471190000185743,658102,5000,13572,0.00045319998753257096,AVL,0.0004372000112198293
0,42857,0.0007890000124461949,,0.06291540001984686,350888,5000,1210,0.0008563000010326505,BTree,0.00020589999621734023
0,91298,5.1799986977130175e-05,21,0.10818040001322515,602160,5000,9538,0.0007077000045683235,RedBlackTree,0.0009510999952908605
0,67815,0.0007990999729372561,12,0.12390969999250956,657710,5000,4987,0.0015995999856386334,AVL,0.0004315999976824969
0,13935,0.0028947000100743026,,0.031644800008507445,450632,5000,1658,0.0017805999959819019,BTree,0.0006831999926362187
0,105721,5.5899989092722535e-05,22,0.16206959998817183,602160,5000,9951,0.0018016000103671104,RedBlackTree,0.0012109999952372164
